distributor,genre,release_time,screening_rat,director,box_off_num
(주)키노아이,멜로/로맨스,2012-03-01,3,배광수,1501
영화사 진진,다큐멘터리,2014-11-13,1,박경근,1440
씨네굿필름,공포,2013-08-08,4,황철민,1426
골든타이드픽처스,미스터리,2015-12-10,4,박용집,1414
트리필름,드라마,2011-03-10,4,전규환,1379
영화사 진진,코미디,2011-08-25,2,오멸,1356
키노엔터테인먼트,다큐멘터리,2014-06-26,3,조세영,1351
마운틴 픽처스,다큐멘터리,2010-10-07,1,이홍석,1298
인디플러그,드라마,2015-11-05,4,박석영,1295
이모션 픽처스,다큐멘터리,2010-12-09,1,이창규,1253
드림로드,멜로/로맨스,2014-10-01,4,김봉은,1250
CJ 엔터테인먼트,미스터리,2011-03-17,4,조성희,1250
인디스토리,드라마,2012-05-24,4,공귀현,1240
시네마 달,다큐멘터리,2013-01-24,2,박배일,1240
(주)노버스엔터테인먼트,코미디,2014-12-04,3,오창민,1217
(주)마운틴픽쳐스,드라마,2013-05-30,4,전수일,1209
(주)마운틴픽쳐스,드라마,2011-09-01,2,윤태식,1198
인디플러그,드라마,2014-11-27,4,김재한,1176
NEW,드라마,2013-11-07,4,전규환,1161
KT&G 상상마당,드라마,2010-01-21,4,이정욱,1143
퍼스트런,미스터리,2013-09-12,4,최위안,1132
어뮤즈,느와르,2014-08-14,4,한윤선,1124
인디스토리,SF,2011-08-25,4,오영두,1089
(주) 영화사조제,드라마,2012-04-19,1,이상빈,1081
(주)콘텐츠 윙,공포,2015-07-30,2,양병간,1079
마운틴 픽처스,다큐멘터리,2010-02-25,1,황석호,1068
M2픽처스,다큐멘터리,2012-11-22,2,이정황,1045
백두대간,드라마,2013-08-15,2,소재영,1040
서울독립영화제,다큐멘터리,2012-08-23,2,부지영,1028
(주)드림팩트엔터테인먼트,느와르,2015-05-28,4,김태경,1008
인디스토리,액션,2012-07-12,4,지하진,1002
CJ 엔터테인먼트,SF,2013-03-14,4,이사무엘,988
(주)마운틴픽쳐스,드라마,2012-03-15,4,전수일,971
(주)피터팬픽쳐스,멜로/로맨스,2015-11-12,4,장성수,961
인디스토리,SF,2012-08-30,4,오영두,957
(주)고앤고 필름,미스터리,2015-11-26,3,박진성,948
인디플러그,다큐멘터리,2015-04-09,1,이홍기,938
스폰지,드라마,2010-09-30,3,성지혜,933
골든타이드픽처스,드라마,2015-05-07,4,김일종,916
조이앤시네마,공포,2015-08-13,3,동지견,914
스폰지,드라마,2010-10-28,3,조성규,900
영화사 진진,다큐멘터리,2010-09-30,1,태미 추,893
(주) 액티버스엔터테인먼트,멜로/로맨스,2014-05-15,4,송창용,891
시네마달,다큐멘터리,2011-09-01,2,김성균,888
(주)두타연,드라마,2012-03-15,3,변성현,868
인디플러그,드라마,2010-12-02,3,김효정,865
(주)패뷸러스,뮤지컬,2015-10-22,1,정성복,862
인디스토리,드라마,2014-03-27,3,민복기,842
(주)마운틴픽쳐스,드라마,2013-09-05,4,김병준,831
아방가르드 필름,드라마,2015-02-26,4,문정윤,831
(주)랠리버튼,SF,2014-03-20,3,김준권,820
골든타이드픽처스,미스터리,2013-07-25,4,구모,813
어뮤즈,느와르,2011-12-15,4,김회근,809
드림팩트 엔터테인먼트,멜로/로맨스,2015-08-06,4,노진수,808
이모션 픽처스,다큐멘터리,2010-01-14,2,민환기,791
(주) 케이알씨지,멜로/로맨스,2015-07-27,4,조조 히데오,745
(주) 케이알씨지,멜로/로맨스,2015-07-27,4,조조 히데오,745
동국대학교 충무로영상제작센터,드라마,2010-04-22,4,진승현,742
마노엔터테인먼트,드라마,2010-09-30,3,김동주,742
영화사 진진,드라마,2011-08-25,1,오멸,732
팜코리아미디어,드라마,2010-05-27,4,김지용,721
(주)팝엔터테인먼트,다큐멘터리,2013-04-18,1,표만석,712
(주)마운틴픽쳐스,다큐멘터리,2013-11-28,1,이성수,703
(주)마운틴픽쳐스,다큐멘터리,2012-09-27,3,이수정,691
(주)마운틴픽쳐스,드라마,2014-10-16,3,신성섭,685
제나두 엔터테인먼트,드라마,2011-04-14,1,김창만,678
(주)키노아이,드라마,2011-07-28,4,허은희,677
(주)마운틴픽쳐스,멜로/로맨스,2013-01-17,4,박철수,660
시네마 달,다큐멘터리,2012-07-26,3,김경만,652
KT&G 상상마당,드라마,2013-07-11,3,최시형,651
두 엔터테인먼트,미스터리,2013-08-22,4,김곡,647
스폰지이엔티,멜로/로맨스,2011-03-10,3,김동원,614
(주)팝엔터테인먼트,드라마,2014-11-06,4,이상우,600
하준사,다큐멘터리,2014-09-25,2,이학준,600
골든타이드픽처스,멜로/로맨스,2013-08-29,4,이광호,599
쟈비스미디어,드라마,2015-11-19,4,강훈,588
(주)마운틴픽쳐스,드라마,2012-10-11,2,한상희,577
어뮤즈,드라마,2012-05-31,1,이홍재,574
노바엔터테인먼트,드라마,2014-01-09,4,윤여창,561
(주)마운틴픽쳐스,멜로/로맨스,2012-08-02,2,민두식,557
마법사필름,공포,2015-12-03,4,김대성,555
무비꼴라쥬,멜로/로맨스,2014-04-17,3,한승훈,542
이모션 픽처스,다큐멘터리,2011-09-01,3,임범,541
인디플러그,코미디,2015-09-10,4,김선,532
웃기씨네,드라마,2011-07-07,3,김규민,521
(주) 케이알씨지,멜로/로맨스,2015-04-23,4,조조 히데오,514
드림팩트 엔터테인먼트,코미디,2015-09-03,4,노병하,512
골든타이드픽처스,드라마,2014-07-31,4,노진수,494
(주)마운틴픽쳐스,멜로/로맨스,2013-05-16,4,진승현,488
스폰지,드라마,2010-05-20,1,배창호,485
마노엔터테인먼트,드라마,2011-10-27,1,한승룡,484
디마엔터테인먼트,멜로/로맨스,2013-11-21,3,문인수,484
프로젝트 엠피,드라마,2012-12-13,4,김건,482
(주)키노아이,액션,2011-07-28,4,황유식,480
무비꼴라쥬,느와르,2014-04-10,3,유원상,458
트리필름,드라마,2011-09-15,4,전규환,446
판다미디어,드라마,2012-05-10,2,최용석,432
(주)더픽쳐스,SF,2015-08-13,2,한철수,429
(주) 케이알씨지,멜로/로맨스,2015-10-07,4,신정균,426
(주) 영화사조제,멜로/로맨스,2015-03-19,4,정단우,424
김기덕 필름,드라마,2015-06-25,4,김동후,419
(주) 케이알씨지,멜로/로맨스,2015-09-23,4,이전,419
스폰지,멜로/로맨스,2010-04-29,2,전계수,409
웃기씨네,멜로/로맨스,2010-05-05,3,박범훈,408
(주) 케이알씨지,멜로/로맨스,2015-11-25,4,김민욱,400
(주) 케이알씨지,멜로/로맨스,2015-09-16,4,윤여창,397
인디스토리,멜로/로맨스,2011-12-08,3,김관철,390
시네마달,다큐멘터리,2011-11-24,1,이강현,389
BoXoo 엔터테인먼트,드라마,2014-04-24,4,이로이,385
BoXoo 엔터테인먼트,드라마,2015-11-26,2,박진순,380
(주) 케이알씨지,멜로/로맨스,2015-10-22,4,이전,368
(주)마운틴픽쳐스,멜로/로맨스,2013-10-31,4,박철수,366
나이너스엔터테인먼트(주),드라마,2010-01-02,2,타케 마사하루,353
이상우필름,드라마,2015-12-31,4,이상우,339
(주)마운틴픽쳐스,드라마,2011-03-03,3,김정환,335
(주) 액티버스엔터테인먼트,드라마,2015-12-24,2,한창근,329
어뮤즈,다큐멘터리,2012-07-19,1,노효두,328
(주)온비즈넷,공포,2014-03-14,4,방현준,310
(주)유비네트워크,코미디,2015-10-08,4,한우진,303
(주)팝엔터테인먼트,드라마,2013-03-21,4,박철수,294
골든타이드픽처스,드라마,2015-01-29,4,이난,279
골든타이드픽처스,액션,2015-07-09,4,박상현,257
(주)키노아이,드라마,2011-10-13,3,임우성,256
어뮤즈,다큐멘터리,2014-06-26,1,이지현,241
마운틴 픽처스,다큐멘터리,2010-08-26,1,백승창,240
(주) 영화사조제,드라마,2014-02-13,3,김상석,236
(주)휘엔터테인먼트,드라마,2014-05-29,4,이현철,228
CJ 엔터테인먼트,애니메이션,2012-03-08,4,김선아,218
마노엔터테인먼트,미스터리,2013-11-14,4,윤여창,205
CJ 엔터테인먼트,드라마,2012-03-08,3,최영석,201
크리에이티브컴즈(주),드라마,2012-09-13,3,전화성,188
(주)키노아이,다큐멘터리,2011-12-01,1,김영진,179
ysfilm,드라마,2010-07-01,2,조연수,172
BoXoo 엔터테인먼트,코미디,2015-02-26,4,노진수,166
에스와이코마드,다큐멘터리,2012-05-24,1,조성형,163
건시네마,드라마,2010-11-25,4,김건,162
(주)마운틴픽쳐스,다큐멘터리,2012-10-25,3,인진미,158
홀리가든,드라마,2015-10-15,2,강의석,152
골든타이드픽처스,드라마,2015-01-29,4,남기웅,148
(주)씨엠닉스,드라마,2015-12-14,3,권중목,136
(주)마운틴픽쳐스,드라마,2014-10-02,4,남기웅,112
(주)마운틴픽쳐스,다큐멘터리,2015-05-07,1,김정욱,112
(주) 영화사조제,드라마,2012-05-14,2,손광주,110
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
